group,eps,case,relerr
ps1,1e-4,2,0.000000000000000e+00
ps1,1e-4,2,4.555178798533341e-12
ps1,1e-4,2,4.947697678160735e-12
ps1,1e-4,1,6.116515677931310e-13
ps1,1e-4,2,1.051020992887520e-08
ps1,1e-4,2,1.721585197558610e-09
ps1,1e-4,2,2.520032590748474e-12
ps1,1e-4,2,2.334517940866307e-07
ps1,1e-4,2,4.888810284279283e-08
ps1,1e-4,2,2.426552493158555e-10
ps1,1e-4,2,3.558703490863084e-15
ps1,1e-4,2,1.349554296849779e-10
ps1,1e-4,2,6.495568419628037e-15
ps1,1e-4,2,2.683682645939333e-07
ps1,1e-4,2,1.230659655181137e-13
